S. No.,PCB Annotations,Part Name,Qty.,Unit Price(?),Total Price(?),Product link,LCSC Part No.
1,"U1,U2",TPA3255DDVR,2,396,807,https://www.lcsc.com/product-detail/C468240.html?s_z=n_tpa3255,C468240
2,L1-L6,10uH Inductor,7,32.5,276.6,https://www.lcsc.com/product-detail/C5349630.html,C5349630
3,SW1,DPDT switch,1,9,9,https://robu.in/product/sk-3245d-02-l4-xkb-50ma-dpdt-12v-12v-50ma-10000-times-black-plugin-slide-switches-rohs/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWcFjrzqJG593c4xd949iR_oC&gclid=Cj0KCQiAtfXMBhDzARIsAJ0jp3CNFIbtyuIz221H5YIetnwwumhYcSsE21Pcv8_HRoDZ4jVu6T5ZKvYaAp7xEALw_wcB,
4,J17,aux input jack,1,2.75,2.75,https://robu.in/product/smartelex-audio-jack-3-5mm-trrs-smd/,
5,C77,270nF Ceramic Capacitor X7R 50V,2,0.64,1.28,https://robu.in/product/tcc0805x7r274k500dt-cctc-smt-ceramic-capacitors-0805-x7r-274k270nf%c2%b110-rated-voltage50v-thickness0-85mmtape/,
6,"C59,C58",100pF ceramic capacitor 50V,3,0.71,2.13,https://robu.in/product/100pf-50v-ceramic-capacitordip-pack-of-50/,
7,"R13,R14",470ohm resistor,3,1,3,https://robu.in/product/470-ohm-0-5w-metal-film-resistor-pack-of-50/,
8,J18,Bluetooth Module,1,300,300,https://robocraze.com/products/dfrobot-bluetooth-5-0-audio-receiver-board?_pos=2&_sid=4add056a5&_ss=r,
9,SUB1,10k Potentiometer A taper,1,18,18,https://makerbazar.in/products/wh148-3pin-20mm-rotary-shaft-potentiometer-audio-logarithm-a-taper-pots,
10,VOLUME1,10k Potentiometer Dual gang,1,22,22,https://robu.in/product/10k%cf%89-0-2w-6-pin-2-gang-rotary-carbon-potentiometer-15mm/,
11,"R15,R16",4.7k ohm metal film resistor ,3,0.7,2.1,https://robu.in/product/4-7k-ohm-0-5w-metal-film-resistor-pack-of-50/,
